Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SSM,SUSM,SUSMA,SSMA,SMP
2016,3,17,18.09,2.56,95.69,126.06,32.33,3.82,29.84,2.5,16.23,-0.36,-0.25,0.1
2016,3,18,15.28,0.0,95.65,117.75,31.94,4.83,29.74,2.34,16.23,-0.37,-0.3,0.1
2016,3,19,13.53,0.0,95.63,156.44,32.56,2.62,29.99,2.33,16.04,-0.39,-0.31,0.1
2016,3,20,13.26,0.0,95.66,142.44,32.84,2.77,30.33,2.32,15.86,-0.42,-0.31,0.1
2016,3,21,11.78,0.0,95.57,157.44,33.97,2.84,31.4,2.31,15.68,-0.44,-0.31,0.1
2016,3,22,15.87,0.0,95.42,199.62,35.41,4.78,32.55,2.31,15.62,-0.45,-0.31,0.1
2016,3,23,16.81,0.0,95.49,173.88,35.8,5.53,32.76,2.31,15.56,-0.46,-0.31,0.1
2016,3,24,15.21,0.0,95.74,120.06,33.82,4.7,31.06,2.31,15.5,-0.47,-0.31,0.1
2016,3,25,12.58,0.0,95.87,109.88,32.54,4.17,29.73,2.31,15.42,-0.48,-0.32,0.1
2016,3,26,11.27,0.0,95.84,128.19,31.56,5.02,29.05,2.3,15.34,-0.49,-0.32,0.1
2016,3,27,12.47,0.0,95.81,141.5,31.66,4.2,28.8,2.29,15.27,-0.5,-0.32,0.1
2016,3,28,15.96,0.0,95.8,130.25,33.33,6.89,29.9,2.29,15.23,-0.5,-0.32,0.1
2016,3,29,17.62,0.0,95.83,126.88,33.83,5.85,30.58,2.29,15.19,-0.51,-0.32,0.1
2016,3,30,15.92,0.0,95.82,128.19,33.27,5.38,30.32,2.29,15.16,-0.51,-0.31,0.1
2016,3,31,15.79,0.0,95.72,133.62,32.26,3.11,29.55,2.29,15.14,-0.5,-0.32,0.09
2016,4,1,15.09,0.0,95.56,134.69,33.37,3.24,30.21,2.29,15.13,-0.49,-0.33,0.09
2016,4,2,15.0,0.0,95.61,125.12,33.63,4.78,30.78,2.28,15.11,-0.48,-0.34,0.09
2016,4,3,14.07,0.0,95.71,126.75,33.84,3.7,30.91,2.29,15.12,-0.48,-0.34,0.09
2016,4,4,12.65,0.0,95.61,129.94,33.35,4.38,30.71,2.29,15.13,-0.47,-0.34,0.09
2016,4,5,12.82,0.0,95.52,145.69,33.76,4.65,30.69,2.3,15.14,-0.46,-0.34,0.1
2016,4,6,16.96,0.01,95.57,141.44,35.49,6.5,31.76,2.35,15.32,-0.45,-0.33,0.1
2016,4,7,18.23,0.29,95.51,154.56,35.99,6.4,32.25,2.41,15.51,-0.43,-0.31,0.1
2016,4,8,18.49,0.49,95.5,152.88,35.39,5.09,32.09,2.46,15.7,-0.41,-0.29,0.1
2016,4,9,19.45,0.79,95.65,164.38,31.44,3.44,29.54,2.41,15.68,-0.41,-0.32,0.1
2016,4,10,18.39,0.01,95.72,137.62,32.17,3.01,29.81,2.36,15.66,-0.42,-0.35,0.1
2016,4,11,17.27,0.0,95.56,139.12,35.65,4.59,32.17,2.31,15.64,-0.43,-0.38,0.1
2016,4,12,16.8,0.0,95.42,161.69,36.47,3.6,33.0,2.3,15.56,-0.44,-0.39,0.1
2016,4,13,18.07,0.01,95.25,194.94,37.36,4.88,34.02,2.3,15.47,-0.46,-0.4,0.1
2016,4,14,18.84,0.01,95.28,155.75,36.75,3.58,33.99,2.29,15.39,-0.47,-0.42,0.1
2016,4,15,19.01,0.0,95.47,129.44,35.78,5.3,32.8,2.29,15.36,-0.49,-0.43,0.1
2016,4,16,18.34,0.0,95.46,137.06,35.66,4.09,32.7,2.29,15.32,-0.5,-0.43,0.1
2016,4,17,17.4,0.0,95.37,131.44,35.86,5.65,33.1,2.29,15.29,-0.52,-0.44,0.1
2016,4,18,17.58,0.0,95.41,143.25,35.15,3.77,32.25,2.28,15.24,-0.53,-0.46,0.09
2016,4,19,18.58,0.0,95.47,145.75,36.01,4.95,32.45,2.28,15.19,-0.55,-0.47,0.09
2016,4,20,18.19,0.0,95.59,155.69,36.13,3.01,32.66,2.27,15.14,-0.57,-0.48,0.09
2016,4,21,18.1,0.59,95.48,178.69,37.02,3.34,33.43,2.28,15.13,-0.57,-0.49,0.09
2016,4,22,17.58,0.64,95.37,193.88,38.13,3.25,34.47,2.3,15.12,-0.58,-0.5,0.09
2016,4,23,15.55,0.0,95.16,193.5,38.76,4.8,35.57,2.31,15.11,-0.58,-0.5,0.1
2016,4,24,16.33,0.0,95.07,191.19,39.31,8.48,35.56,2.31,15.15,-0.6,-0.53,0.1
2016,4,25,18.64,1.67,95.24,170.44,37.0,4.84,33.94,2.31,15.2,-0.61,-0.55,0.1
2016,4,26,19.31,0.55,95.49,131.12,33.58,2.17,31.43,2.31,15.25,-0.62,-0.58,0.1
2016,4,27,17.23,0.0,95.44,128.0,34.84,5.19,31.77,2.29,15.19,-0.65,-0.59,0.09
2016,4,28,15.85,0.0,95.44,150.19,34.9,2.8,31.95,2.27,15.13,-0.67,-0.61,0.09
2016,4,29,15.16,0.0,95.49,146.94,34.4,3.44,31.76,2.25,15.07,-0.69,-0.63,0.09
2016,4,30,14.97,0.0,95.49,144.38,35.09,5.17,32.16,2.27,15.04,-0.71,-0.65,0.09
2016,5,1,15.84,0.0,95.43,169.0,35.66,4.6,32.58,2.29,15.01,-0.73,-0.66,0.09
2016,5,2,16.75,0.39,95.39,181.31,37.06,5.54,33.57,2.31,14.98,-0.75,-0.68,0.09
2016,5,3,16.85,0.26,95.36,156.06,36.23,5.27,33.23,3.37,15.7,-0.74,-0.53,0.1
2016,5,4,17.63,0.0,95.39,144.62,35.54,4.12,32.55,4.43,16.43,-0.74,-0.39,0.11
2016,5,5,17.76,0.51,95.47,141.5,34.23,4.09,31.73,5.48,17.16,-0.73,-0.24,0.12
2016,5,6,20.24,10.56,95.48,128.44,32.4,3.73,30.3,6.08,19.96,-0.66,-0.17,0.14
2016,5,7,22.26,14.8,95.49,156.12,29.26,1.4,28.23,6.67,22.76,-0.58,-0.11,0.16
2016,5,8,22.35,7.8,95.57,148.25,28.47,2.42,27.8,7.26,25.57,-0.51,-0.04,0.18
2016,5,9,20.73,0.71,95.52,117.38,30.14,2.9,28.79,6.57,27.05,-0.5,-0.18,0.18
2016,5,10,20.65,9.64,95.54,146.38,30.04,3.05,28.65,5.87,28.53,-0.49,-0.32,0.18
2016,5,11,19.25,0.59,95.5,178.56,30.3,2.41,28.63,5.18,30.0,-0.48,-0.47,0.19
2016,5,12,18.89,0.56,95.31,194.62,30.69,3.76,29.04,5.41,29.54,-0.53,-0.45,0.19
2016,5,13,20.07,1.45,95.26,189.62,32.35,2.0,30.2,5.63,29.07,-0.58,-0.43,0.19
2016,5,14,20.53,0.76,95.37,134.5,32.09,3.77,30.11,5.86,28.6,-0.64,-0.41,0.19
2016,5,15,18.87,0.32,95.44,155.06,30.07,4.92,28.77,7.76,31.65,-0.56,-0.13,0.21
2016,5,16,19.67,4.79,95.23,137.5,28.28,2.72,27.62,9.66,34.71,-0.47,0.15,0.24
2016,5,17,18.8,8.63,95.02,167.38,27.19,8.66,27.25,11.55,37.76,-0.39,0.42,0.27
2016,5,18,21.26,10.54,94.93,274.69,28.71,4.84,27.88,9.88,40.85,-0.34,0.09,0.28
2016,5,19,22.3,21.84,95.07,257.44,28.37,4.72,27.62,8.21,43.94,-0.28,-0.24,0.28
2016,5,20,21.08,0.34,95.13,259.06,28.82,4.83,28.08,6.54,47.03,-0.23,-0.57,0.29
2016,5,21,20.12,0.0,95.24,292.25,29.99,4.44,29.21,6.09,45.66,-0.32,-0.67,0.28
2016,5,22,19.95,0.0,95.35,273.31,31.46,4.24,30.34,5.64,44.29,-0.41,-0.77,0.27
2016,5,23,20.33,0.0,95.34,268.75,30.95,5.26,30.33,5.19,42.92,-0.5,-0.86,0.26
2016,5,24,20.13,0.0,95.31,267.38,32.38,4.59,31.02,5.74,41.52,-0.58,-0.8,0.26
2016,5,25,20.32,0.37,95.26,272.5,32.52,4.33,30.96,6.29,40.12,-0.66,-0.74,0.25
2016,5,26,20.55,0.02,95.29,270.69,31.76,3.79,30.43,6.84,38.71,-0.74,-0.67,0.25
2016,5,27,20.85,5.86,95.42,235.44,30.08,1.99,28.72,7.0,39.55,-0.75,-0.67,0.25
2016,5,28,21.47,4.71,95.44,311.25,28.75,5.3,27.73,7.17,40.38,-0.76,-0.67,0.26
2016,5,29,21.73,8.55,95.33,283.75,29.4,4.28,28.59,7.33,41.21,-0.78,-0.67,0.26
2016,5,30,21.42,1.92,95.31,252.62,28.77,3.2,27.73,7.53,42.45,-0.76,-0.63,0.27
2016,5,31,20.5,1.63,95.37,248.19,31.09,4.85,29.51,7.72,43.69,-0.76,-0.6,0.28
2016,6,1,22.0,14.03,95.42,288.94,27.97,3.53,27.37,7.92,44.93,-0.74,-0.57,0.29
2016,6,2,22.3,12.52,95.37,244.25,27.01,3.16,26.69,9.12,46.61,-0.69,-0.33,0.3
2016,6,3,21.55,0.93,95.28,240.94,28.44,3.27,27.58,10.31,48.28,-0.64,-0.09,0.32
2016,6,4,21.4,3.82,95.27,252.75,28.66,3.54,27.95,11.5,49.96,-0.58,0.15,0.34
2016,6,5,20.88,2.48,95.25,261.94,29.21,2.97,28.42,11.69,52.41,-0.5,0.15,0.35
2016,6,6,21.17,4.84,95.3,245.38,28.5,2.73,27.81,11.88,54.86,-0.41,0.16,0.36
2016,6,7,22.54,2.01,95.31,238.5,27.81,3.12,27.22,12.06,57.31,-0.33,0.16,0.38
2016,6,8,21.19,2.5,95.32,259.0,28.15,4.05,27.58,10.65,58.13,-0.31,-0.08,0.38
2016,6,9,20.33,0.35,95.37,240.25,28.65,5.22,27.55,9.24,58.95,-0.29,-0.32,0.37
2016,6,10,19.54,0.17,95.35,243.69,28.65,5.7,27.74,7.83,59.78,-0.27,-0.56,0.37
2016,6,11,19.65,1.45,95.43,263.81,28.51,4.94,27.54,7.54,58.08,-0.33,-0.61,0.36
2016,6,12,18.96,0.19,95.44,278.12,28.26,5.29,27.3,7.26,56.38,-0.39,-0.65,0.35
2016,6,13,18.27,1.62,95.47,276.12,27.18,5.22,26.71,6.97,54.68,-0.45,-0.7,0.34
2016,6,14,18.19,0.23,95.39,283.69,28.47,5.07,27.5,7.37,53.26,-0.49,-0.61,0.33
2016,6,15,18.3,0.11,95.23,274.38,29.43,5.11,28.35,7.76,51.83,-0.54,-0.53,0.32
2016,6,16,19.62,1.54,95.15,279.5,28.79,5.45,27.77,8.16,50.41,-0.59,-0.44,0.32
2016,6,17,20.49,8.26,95.1,273.44,26.82,3.21,26.42,9.86,50.98,-0.55,-0.05,0.33
2016,6,18,20.23,1.47,95.14,284.62,27.48,5.67,26.83,11.57,51.55,-0.52,0.34,0.34
2016,6,19,19.55,0.92,95.15,272.56,26.65,4.89,26.14,13.28,52.12,-0.48,0.74,0.36
2016,6,20,20.77,0.9,95.13,241.25,26.27,2.87,25.47,14.27,56.2,-0.25,1.04,0.39
2016,6,21,20.98,1.76,95.18,252.06,26.5,2.93,25.55,15.26,60.28,-0.02,1.35,0.41
2016,6,22,19.48,10.28,95.3,288.62,26.52,4.8,25.64,16.25,64.37,0.21,1.65,0.44
2016,6,23,19.28,7.46,95.34,283.81,24.94,6.08,24.51,14.43,66.6,0.37,1.25,0.44
2016,6,24,18.57,0.82,95.23,284.94,25.63,5.95,25.32,12.61,68.82,0.53,0.84,0.44
2016,6,25,18.23,2.21,95.29,290.19,25.83,6.92,25.3,10.79,71.05,0.69,0.44,0.45
2016,6,26,19.74,0.09,95.29,278.88,27.17,4.16,26.42,11.44,70.94,0.72,0.59,0.45
2016,6,27,19.55,1.42,95.21,278.06,26.44,6.84,25.99,12.08,70.82,0.75,0.75,0.45
2016,6,28,19.9,1.74,95.24,260.06,26.27,6.04,25.83,12.73,70.71,0.78,0.9,0.46
2016,6,29,20.66,2.13,95.25,259.69,25.87,5.74,25.49,11.37,70.34,0.78,0.59,0.45
2016,6,30,19.61,2.64,95.25,268.12,26.76,6.61,26.24,10.0,69.98,0.78,0.29,0.44
2016,7,1,19.5,0.06,95.17,267.75,27.65,5.84,26.99,8.64,69.61,0.78,-0.02,0.43
2016,7,2,18.94,0.0,95.21,267.75,28.12,5.59,27.48,8.69,67.02,0.66,-0.02,0.41
2016,7,3,19.64,0.0,95.35,271.94,28.54,6.23,27.65,8.74,64.42,0.53,-0.02,0.4
2016,7,4,19.61,0.5,95.37,265.69,28.33,4.18,27.41,8.78,61.83,0.41,-0.03,0.39
2016,7,5,20.4,0.11,95.33,259.38,27.77,3.99,27.08,8.81,60.77,0.37,-0.01,0.38
2016,7,6,21.08,0.78,95.32,260.81,27.11,4.89,26.62,8.84,59.7,0.32,0.01,0.38
2016,7,7,19.65,0.82,95.36,257.38,26.46,6.68,25.92,8.86,58.64,0.27,0.02,0.37
2016,7,8,19.57,0.05,95.26,256.12,27.5,5.88,26.75,8.16,57.06,0.19,-0.12,0.36
2016,7,9,19.62,0.27,95.22,256.38,27.62,9.11,26.92,7.46,55.47,0.12,-0.26,0.34
2016,7,10,19.37,0.26,95.19,264.88,28.27,7.57,27.52,6.75,53.89,0.04,-0.4,0.33
2016,7,11,19.12,0.03,95.17,265.69,27.94,5.72,27.32,8.09,51.87,-0.06,-0.16,0.33
2016,7,12,19.13,0.06,95.24,269.06,27.87,5.2,27.12,9.43,49.85,-0.15,0.08,0.32
2016,7,13,19.15,0.0,95.25,269.12,29.15,4.77,28.05,10.77,47.82,-0.24,0.32,0.32
2016,7,14,19.64,0.14,95.19,267.06,30.02,3.85,28.41,12.8,52.26,-0.07,0.67,0.36
2016,7,15,20.46,2.99,95.2,246.12,30.04,1.9,28.25,14.82,56.7,0.1,1.02,0.39
2016,7,16,20.94,4.63,95.36,221.44,27.97,3.23,26.69,16.85,61.13,0.26,1.38,0.43
2016,7,17,20.69,3.87,95.54,249.62,26.96,2.16,25.87,15.71,65.0,0.39,1.16,0.45
2016,7,18,20.71,14.34,95.5,279.94,26.44,3.44,25.59,14.57,68.88,0.51,0.94,0.46
2016,7,19,19.95,2.54,95.46,283.81,26.41,3.89,25.59,13.43,72.75,0.63,0.73,0.48
2016,7,20,20.17,1.68,95.37,290.75,28.05,3.7,26.68,14.07,73.7,0.64,0.82,0.48
2016,7,21,19.65,1.44,95.28,282.31,26.41,4.02,25.73,14.7,74.66,0.65,0.91,0.49
2016,7,22,19.13,0.29,95.23,275.69,27.12,5.42,26.18,15.34,75.61,0.66,1.01,0.5
2016,7,23,19.66,0.58,95.2,270.0,28.26,4.23,26.87,18.39,86.35,0.99,1.51,0.58
2016,7,24,20.6,3.65,95.23,282.25,27.27,3.23,26.21,21.45,97.08,1.31,2.01,0.65
2016,7,25,20.3,20.3,95.25,242.25,28.22,1.6,26.76,24.5,107.82,1.63,2.51,0.73
2016,7,26,20.69,13.57,95.26,241.31,26.17,1.95,25.56,24.48,116.56,1.89,2.48,0.77
2016,7,27,21.33,8.42,95.31,217.75,26.02,1.52,25.23,24.45,125.3,2.14,2.45,0.82
2016,7,28,21.55,21.54,95.32,279.81,26.61,3.13,25.76,24.42,134.03,2.39,2.41,0.87
2016,7,29,21.3,2.93,95.29,285.31,26.13,3.14,25.8,22.28,134.62,2.39,2.04,0.86
2016,7,30,20.03,2.8,95.34,273.19,25.34,3.17,25.05,20.15,135.2,2.38,1.67,0.85
2016,7,31,19.0,0.21,95.38,272.62,26.64,4.84,25.87,18.02,135.78,2.37,1.3,0.84
2016,8,1,19.19,0.14,95.36,270.94,25.97,5.95,25.55,17.34,132.48,2.25,1.18,0.82
2016,8,2,19.08,0.0,95.18,265.19,25.75,4.95,25.48,16.66,129.17,2.12,1.06,0.8
2016,8,3,19.19,0.0,95.1,265.0,26.87,6.74,26.3,15.98,125.87,1.99,0.94,0.78
2016,8,4,19.57,0.0,95.21,269.75,26.65,5.33,26.13,15.3,121.69,1.85,0.81,0.75
2016,8,5,19.55,0.0,95.3,268.31,26.19,4.65,25.84,14.63,117.51,1.7,0.69,0.72
2016,8,6,19.57,0.05,95.31,271.94,26.89,5.27,26.32,13.95,113.34,1.55,0.56,0.7
2016,8,7,19.92,0.02,95.39,274.19,27.26,4.3,26.43,13.57,109.51,1.42,0.5,0.67
2016,8,8,19.75,0.0,95.46,274.19,27.3,4.55,26.67,13.2,105.69,1.28,0.43,0.65
2016,8,9,19.87,0.07,95.4,274.31,28.55,3.73,27.49,12.82,101.86,1.14,0.37,0.63
2016,8,10,20.03,0.02,95.43,280.75,28.71,4.66,27.55,13.31,99.06,1.05,0.44,0.61
2016,8,11,19.9,0.0,95.51,282.25,28.54,3.59,27.42,13.8,96.26,0.96,0.51,0.6
2016,8,12,20.46,2.5,95.48,278.75,28.21,4.01,27.3,14.3,93.46,0.87,0.59,0.59
2016,8,13,20.93,0.82,95.36,280.12,28.25,4.12,27.26,13.18,91.41,0.81,0.39,0.57
2016,8,14,20.15,0.89,95.36,277.38,27.75,4.4,26.8,12.07,89.35,0.74,0.2,0.55
2016,8,15,19.73,3.42,95.28,284.12,28.05,4.94,27.03,10.96,87.3,0.68,0.0,0.54
2016,8,16,19.28,0.55,95.2,279.81,28.13,4.97,27.28,10.46,84.18,0.57,-0.1,0.52
2016,8,17,19.58,0.59,95.14,274.56,27.29,4.36,26.68,9.96,81.06,0.46,-0.2,0.5
2016,8,18,19.85,0.03,95.17,277.88,28.43,4.19,27.36,9.45,77.95,0.35,-0.3,0.48
2016,8,19,19.89,0.39,95.19,280.44,29.21,5.23,27.96,9.74,75.2,0.24,-0.28,0.46
2016,8,20,20.12,0.17,95.18,281.62,30.04,4.12,28.48,10.03,72.45,0.13,-0.27,0.45
2016,8,21,19.87,0.41,95.24,291.62,30.47,3.98,28.96,10.31,69.7,0.02,-0.26,0.44
2016,8,22,20.28,0.45,95.3,285.12,30.19,4.31,28.77,11.46,69.22,-0.03,-0.13,0.44
2016,8,23,20.38,1.19,95.31,272.81,27.94,2.99,27.3,12.61,68.73,-0.07,0.0,0.44
2016,8,24,20.76,0.37,95.25,275.12,28.07,4.2,27.16,13.76,68.25,-0.12,0.14,0.45
2016,8,25,21.13,2.24,95.28,258.56,26.9,4.0,26.25,14.19,70.03,-0.09,0.18,0.46
2016,8,26,20.85,12.87,95.27,302.06,26.85,4.62,26.45,14.63,71.82,-0.07,0.21,0.47
2016,8,27,20.89,5.95,95.31,264.75,26.8,4.41,26.12,15.07,73.6,-0.05,0.25,0.49
2016,8,28,20.01,0.27,95.33,285.94,28.34,3.63,27.3,16.58,79.11,0.07,0.44,0.53
2016,8,29,20.01,0.93,95.27,284.06,28.14,3.97,27.08,18.09,84.62,0.2,0.63,0.56
2016,8,30,21.09,5.86,95.2,259.06,26.42,3.34,25.66,19.6,90.14,0.32,0.82,0.6
2016,8,31,20.26,8.96,95.27,272.75,25.83,3.62,25.26,18.22,92.49,0.36,0.62,0.61
2016,9,1,18.64,0.52,95.43,274.38,25.35,3.88,25.0,16.83,94.84,0.4,0.42,0.61
2016,9,2,18.32,1.12,95.48,274.44,25.97,2.88,25.4,15.45,97.19,0.44,0.22,0.62
