Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SUSM,SSM,SMP,SSMA,SUSMA
2016,2,26,-8.11,0.0,99.13,78.25,24.51,2.48,23.77,9.07,2.55,0.11,-0.22,-0.24
2016,2,27,-7.02,0.0,99.23,63.75,23.71,1.59,23.5,9.04,2.55,0.11,-0.23,-0.25
2016,2,28,-6.6,0.0,99.23,61.25,24.51,1.95,24.42,9.0,2.54,0.11,-0.24,-0.27
2016,2,29,-4.99,0.0,99.14,166.75,26.01,3.48,25.28,8.97,2.53,0.1,-0.24,-0.28
2016,3,1,-2.76,0.0,98.89,116.69,27.39,2.87,26.61,8.98,2.54,0.11,-0.23,-0.27
2016,3,2,-0.49,0.0,98.77,180.94,28.37,2.66,27.61,8.99,2.55,0.11,-0.21,-0.25
2016,3,3,3.97,0.0,98.88,235.31,28.69,3.12,28.09,9.01,2.56,0.11,-0.2,-0.24
2016,3,4,3.96,0.14,98.78,230.06,27.57,2.88,26.66,9.1,2.6,0.11,-0.12,-0.16
2016,3,5,7.83,0.34,98.63,188.69,26.62,4.71,25.36,9.2,2.64,0.11,-0.04,-0.08
2016,3,6,7.85,0.0,98.76,182.12,26.44,5.33,24.08,9.3,2.68,0.11,0.04,0.0
2016,3,7,7.43,0.0,98.89,184.94,25.23,3.89,23.43,9.26,2.7,0.11,0.08,-0.01
2016,3,8,4.92,0.0,98.77,92.88,25.46,1.91,23.55,9.22,2.72,0.11,0.12,-0.03
2016,3,9,5.51,0.0,98.73,150.5,27.4,2.93,25.62,9.17,2.74,0.11,0.16,-0.04
2016,3,10,8.19,0.0,98.77,192.38,27.83,4.43,26.76,9.43,2.8,0.11,0.2,0.14
2016,3,11,9.46,0.16,98.76,241.94,27.46,9.59,26.51,9.69,2.85,0.12,0.23,0.32
2016,3,12,9.31,0.05,98.52,225.69,26.35,5.41,24.94,9.95,2.91,0.12,0.26,0.5
2016,3,13,5.64,0.0,98.58,249.0,24.83,4.36,23.81,9.64,2.77,0.12,0.09,0.29
2016,3,14,5.36,0.0,98.82,168.88,26.19,3.34,24.54,9.34,2.62,0.11,-0.08,0.08
2016,3,15,4.51,0.0,98.9,57.56,26.6,2.73,24.92,9.03,2.47,0.11,-0.25,-0.13
2016,3,16,5.29,0.0,98.72,188.62,28.2,2.49,26.23,8.92,2.47,0.1,-0.25,-0.2
2016,3,17,9.33,0.0,98.51,254.12,28.58,7.17,27.7,8.8,2.47,0.1,-0.25,-0.27
2016,3,18,12.33,0.0,98.48,194.25,30.21,3.95,28.03,8.69,2.46,0.1,-0.25,-0.34
2016,3,19,7.36,0.0,98.44,244.62,29.45,2.78,28.12,8.69,2.46,0.1,-0.24,-0.33
2016,3,20,3.73,0.0,98.56,262.12,28.6,2.3,27.35,8.68,2.46,0.1,-0.24,-0.33
2016,3,21,1.87,0.0,98.66,163.25,28.98,3.9,27.84,8.68,2.46,0.1,-0.24,-0.32
2016,3,22,-1.86,0.0,98.71,99.31,27.75,2.38,26.44,8.64,2.46,0.1,-0.25,-0.34
2016,3,23,-5.64,0.0,98.58,213.31,28.83,2.73,29.58,8.59,2.45,0.1,-0.25,-0.37
2016,3,24,-2.9,0.0,98.68,249.62,29.76,3.31,30.09,8.54,2.44,0.1,-0.26,-0.39
2016,3,25,2.14,0.0,98.7,180.75,30.26,4.88,29.87,8.56,2.45,0.1,-0.25,-0.37
2016,3,26,8.76,0.0,98.91,104.56,28.01,5.27,26.55,8.58,2.46,0.1,-0.23,-0.35
2016,3,27,-0.74,0.0,98.87,135.62,28.57,2.41,26.51,8.6,2.46,0.1,-0.22,-0.33
2016,3,28,-3.67,0.0,98.82,128.88,28.79,3.04,27.2,8.62,2.46,0.1,-0.22,-0.31
2016,3,29,-3.24,0.0,98.71,214.81,30.37,3.19,28.85,8.64,2.45,0.1,-0.22,-0.28
2016,3,30,-2.31,0.0,98.69,249.56,30.72,3.02,29.92,8.67,2.45,0.1,-0.22,-0.26
2016,3,31,3.98,0.0,98.5,251.19,31.58,3.07,30.65,8.67,2.45,0.1,-0.22,-0.25
2016,4,1,9.58,0.0,98.3,240.94,33.02,1.73,31.44,8.68,2.45,0.1,-0.22,-0.24
2016,4,2,11.4,0.0,98.4,243.75,33.65,3.2,32.15,8.68,2.46,0.1,-0.21,-0.24
2016,4,3,8.01,0.0,98.5,241.94,32.8,5.02,31.48,8.69,2.46,0.1,-0.21,-0.23
2016,4,4,8.89,0.0,98.42,255.0,32.12,3.0,30.29,8.69,2.46,0.1,-0.21,-0.23
2016,4,5,3.4,0.0,98.31,237.56,30.98,4.94,29.63,8.69,2.46,0.1,-0.21,-0.23
2016,4,6,6.96,0.0,98.39,243.94,31.3,5.67,29.52,8.67,2.45,0.1,-0.21,-0.24
2016,4,7,6.71,0.0,98.43,285.94,32.56,2.19,29.62,8.65,2.44,0.1,-0.22,-0.25
2016,4,8,5.41,0.0,98.42,228.19,31.62,3.22,29.47,8.62,2.43,0.1,-0.22,-0.26
2016,4,9,5.25,0.0,98.48,232.5,31.68,3.7,29.55,8.63,2.44,0.1,-0.21,-0.26
2016,4,10,6.55,0.0,98.57,228.19,31.21,5.44,29.71,8.63,2.45,0.1,-0.19,-0.26
2016,4,11,7.37,0.0,98.59,274.69,31.85,3.03,29.57,8.64,2.46,0.1,-0.18,-0.25
2016,4,12,5.14,0.0,98.51,216.75,32.2,1.84,30.02,8.65,2.45,0.1,-0.18,-0.24
2016,4,13,3.84,0.0,98.24,291.44,32.7,4.11,31.43,8.66,2.45,0.1,-0.19,-0.23
2016,4,14,5.78,0.0,98.17,254.56,33.33,3.45,31.67,8.67,2.44,0.1,-0.19,-0.22
2016,4,15,7.8,0.0,98.25,243.62,34.47,2.54,32.58,8.61,2.43,0.1,-0.19,-0.25
2016,4,16,9.69,0.0,98.13,230.44,34.28,3.74,32.7,8.54,2.43,0.1,-0.2,-0.28
2016,4,17,13.85,0.0,98.04,225.19,32.94,3.16,31.57,8.47,2.42,0.1,-0.2,-0.31
2016,4,18,8.28,0.0,98.31,233.69,30.65,4.1,29.27,8.46,2.42,0.1,-0.21,-0.31
2016,4,19,9.82,0.0,98.35,247.12,30.33,4.21,29.41,8.45,2.42,0.1,-0.21,-0.32
2016,4,20,6.04,0.0,98.49,288.69,32.9,2.28,31.48,8.43,2.41,0.1,-0.22,-0.32
2016,4,21,5.02,0.0,98.22,255.12,34.13,3.2,32.15,8.44,2.41,0.1,-0.21,-0.32
2016,4,22,5.38,0.0,97.95,255.5,33.85,3.6,31.92,8.44,2.41,0.1,-0.21,-0.31
2016,4,23,-5.27,0.0,97.93,269.75,32.26,4.34,30.51,8.44,2.41,0.1,-0.2,-0.31
2016,4,24,0.8,0.0,97.92,241.62,32.68,1.94,30.71,8.41,2.4,0.1,-0.21,-0.32
2016,4,25,3.28,0.0,98.04,239.19,34.13,2.26,32.11,8.38,2.4,0.1,-0.22,-0.34
2016,4,26,5.3,0.0,98.31,242.69,34.4,2.98,32.33,8.36,2.39,0.1,-0.22,-0.35
2016,4,27,3.38,0.0,98.24,269.44,35.29,1.93,32.85,8.35,2.39,0.1,-0.22,-0.36
2016,4,28,-1.98,0.0,98.15,250.62,35.84,3.06,33.67,8.34,2.4,0.1,-0.22,-0.37
2016,4,29,-1.51,0.0,98.15,211.56,36.01,2.51,34.86,8.34,2.4,0.1,-0.22,-0.37
2016,4,30,1.97,0.0,98.13,279.88,36.87,2.72,35.04,8.37,2.4,0.1,-0.24,-0.36
2016,5,1,5.8,0.0,98.03,251.38,37.08,3.98,35.1,8.41,2.4,0.1,-0.25,-0.35
2016,5,2,9.89,0.0,97.97,236.5,35.25,3.31,34.07,8.45,2.4,0.1,-0.26,-0.34
2016,5,3,8.39,0.04,98.03,232.25,36.06,4.73,34.34,8.51,2.44,0.1,-0.22,-0.31
2016,5,4,8.93,0.0,98.08,243.12,35.86,2.34,33.65,8.57,2.49,0.1,-0.18,-0.27
2016,5,5,10.46,0.19,98.22,243.25,35.63,5.39,32.87,8.63,2.53,0.1,-0.14,-0.24
2016,5,6,12.71,0.0,98.23,196.62,35.7,2.57,32.18,8.57,2.49,0.1,-0.17,-0.27
2016,5,7,10.36,0.0,98.16,217.81,37.11,2.61,34.52,8.51,2.45,0.1,-0.21,-0.31
2016,5,8,10.46,0.0,98.18,260.5,38.26,3.45,35.85,8.45,2.41,0.1,-0.24,-0.34
2016,5,9,11.05,0.03,98.15,258.62,38.54,3.97,36.15,8.43,2.42,0.1,-0.24,-0.35
2016,5,10,10.9,0.0,98.17,244.31,37.3,4.87,35.43,8.4,2.42,0.1,-0.24,-0.37
2016,5,11,9.53,0.0,98.15,251.31,38.15,3.55,35.73,8.38,2.43,0.1,-0.24,-0.38
2016,5,12,10.34,0.18,97.94,251.56,37.74,5.14,35.5,8.43,2.44,0.1,-0.22,-0.36
2016,5,13,8.95,0.0,97.87,241.88,38.62,3.45,36.34,8.47,2.45,0.1,-0.21,-0.34
2016,5,14,11.37,0.0,98.02,240.56,38.88,3.49,36.37,8.52,2.46,0.1,-0.2,-0.32
2016,5,15,10.05,0.0,98.02,253.31,39.52,3.03,36.98,8.48,2.44,0.1,-0.22,-0.35
2016,5,16,11.81,0.0,97.85,258.94,39.27,3.57,36.84,8.44,2.42,0.1,-0.25,-0.37
2016,5,17,7.88,0.09,97.65,255.12,40.6,2.61,38.12,8.4,2.4,0.1,-0.27,-0.39
2016,5,18,7.46,0.0,97.51,266.75,40.73,3.56,38.61,8.39,2.4,0.1,-0.27,-0.4
2016,5,19,6.08,0.0,97.38,263.38,41.23,3.89,39.31,8.38,2.41,0.1,-0.28,-0.42
2016,5,20,9.87,0.0,97.34,249.69,41.1,2.55,38.87,8.36,2.41,0.1,-0.29,-0.43
2016,5,21,16.15,0.2,97.45,234.31,39.86,4.41,37.37,8.36,2.41,0.1,-0.3,-0.44
2016,5,22,20.12,0.0,97.62,229.75,38.58,2.61,35.99,8.36,2.4,0.1,-0.31,-0.44
2016,5,23,19.17,0.0,97.68,230.38,37.72,2.54,35.54,8.35,2.4,0.1,-0.33,-0.45
2016,5,24,18.17,0.0,97.72,235.44,37.22,4.42,34.93,8.34,2.39,0.1,-0.33,-0.46
2016,5,25,17.48,0.0,97.61,237.94,37.4,5.02,35.42,8.32,2.39,0.1,-0.34,-0.47
2016,5,26,18.48,0.0,97.71,235.94,37.24,6.2,35.23,8.31,2.38,0.1,-0.34,-0.49
2016,5,27,19.73,0.0,97.93,238.69,37.23,4.43,34.75,8.32,2.39,0.1,-0.35,-0.49
2016,5,28,19.05,0.0,97.86,240.38,37.65,2.66,35.01,8.33,2.39,0.1,-0.35,-0.48
2016,5,29,19.44,0.0,97.73,230.0,37.32,3.39,34.73,8.34,2.39,0.1,-0.35,-0.48
2016,5,30,17.91,0.0,97.74,227.62,37.24,6.18,34.36,8.36,2.4,0.1,-0.35,-0.49
2016,5,31,17.06,0.0,97.98,233.56,37.19,5.66,34.49,8.37,2.4,0.1,-0.35,-0.5
2016,6,1,16.89,0.0,98.07,236.31,38.01,2.75,34.78,8.39,2.4,0.1,-0.35,-0.5
2016,6,2,15.95,0.0,98.0,231.75,37.9,3.16,34.77,8.35,2.39,0.1,-0.36,-0.52
2016,6,3,13.52,0.0,98.0,253.25,38.58,3.4,35.51,8.3,2.38,0.1,-0.36,-0.54
2016,6,4,7.76,0.0,98.0,274.94,38.99,2.02,36.31,8.26,2.38,0.1,-0.36,-0.56
2016,6,5,3.76,0.0,97.91,274.94,39.44,1.91,36.69,8.25,2.38,0.1,-0.37,-0.57
2016,6,6,4.78,0.0,97.76,247.06,39.75,1.67,37.12,8.24,2.38,0.1,-0.37,-0.58
2016,6,7,10.79,0.0,97.7,240.0,40.09,3.7,37.67,8.23,2.38,0.1,-0.38,-0.59
2016,6,8,12.61,0.0,97.61,230.94,39.98,3.69,37.54,8.27,2.39,0.1,-0.38,-0.58
2016,6,9,17.22,0.0,97.52,228.0,39.3,4.48,36.83,8.32,2.39,0.1,-0.39,-0.57
2016,6,10,18.29,0.0,97.61,224.56,38.08,4.88,35.65,8.37,2.39,0.1,-0.4,-0.56
2016,6,11,20.22,0.28,97.66,229.88,37.58,4.28,34.9,8.43,2.42,0.1,-0.38,-0.55
2016,6,12,20.35,0.46,97.65,228.75,38.16,3.65,35.64,8.49,2.44,0.1,-0.36,-0.53
2016,6,13,20.23,0.0,97.69,230.38,37.82,2.84,35.19,8.56,2.46,0.1,-0.33,-0.52
2016,6,14,20.72,0.0,97.56,231.19,37.39,3.14,34.77,8.53,2.44,0.1,-0.35,-0.51
2016,6,15,19.56,0.0,97.4,230.12,37.28,6.38,34.8,8.5,2.42,0.1,-0.37,-0.5
2016,6,16,18.42,0.0,97.43,226.06,38.71,4.84,35.4,8.47,2.4,0.1,-0.39,-0.5
2016,6,17,17.06,0.0,97.6,240.19,39.11,4.61,35.76,8.52,2.43,0.1,-0.39,-0.5
2016,6,18,16.83,0.07,97.69,246.06,38.91,4.06,35.7,8.56,2.46,0.1,-0.4,-0.51
2016,6,19,16.4,0.0,97.61,270.0,40.89,3.52,37.4,8.6,2.48,0.1,-0.4,-0.52
2016,6,20,17.01,0.28,97.42,237.31,41.35,5.15,38.16,9.06,2.68,0.11,-0.34,-0.45
2016,6,21,19.73,4.44,97.47,212.0,39.2,5.6,35.9,9.52,2.88,0.11,-0.28,-0.39
2016,6,22,22.62,10.28,97.72,211.06,35.49,1.95,33.44,9.97,3.07,0.12,-0.22,-0.33
2016,6,23,22.31,0.25,97.79,232.06,34.83,2.55,32.91,10.13,3.18,0.12,-0.19,-0.31
2016,6,24,22.2,1.24,97.64,222.81,35.14,3.03,33.04,10.29,3.3,0.13,-0.16,-0.3
2016,6,25,22.48,0.62,97.7,216.19,36.24,4.3,33.7,10.45,3.41,0.13,-0.13,-0.28
2016,6,26,23.01,1.21,97.75,191.5,34.68,5.72,32.08,11.2,3.53,0.14,-0.1,-0.17
2016,6,27,23.36,21.98,97.63,246.5,34.32,4.03,32.74,11.96,3.64,0.15,-0.08,-0.07
2016,6,28,23.81,7.86,97.65,147.19,35.05,2.29,33.03,12.71,3.76,0.15,-0.05,0.04
2016,6,29,24.87,1.13,97.64,116.81,35.12,3.15,33.83,12.44,3.94,0.15,-0.05,-0.03
2016,6,30,24.93,2.66,97.58,224.75,34.78,3.33,32.76,12.17,4.12,0.15,-0.04,-0.09
2016,7,1,24.25,0.01,97.36,231.06,33.58,5.91,32.63,11.9,4.3,0.15,-0.04,-0.16
2016,7,2,24.51,0.03,97.26,211.44,34.19,4.5,32.65,12.49,4.05,0.15,-0.13,-0.16
2016,7,3,25.21,17.24,97.39,224.0,32.67,2.41,31.73,13.08,3.8,0.15,-0.22,-0.17
2016,7,4,24.37,5.67,97.42,231.38,32.16,4.48,31.32,13.67,3.55,0.16,-0.31,-0.17
2016,7,5,22.95,0.0,97.4,226.69,33.87,3.75,32.46,12.99,3.31,0.15,-0.39,-0.27
2016,7,6,22.78,0.0,97.4,226.38,34.33,4.23,33.05,12.32,3.07,0.14,-0.46,-0.38
2016,7,7,22.4,0.0,97.54,221.12,32.92,5.28,31.7,11.64,2.82,0.13,-0.53,-0.48
2016,7,8,23.55,0.01,97.46,226.19,34.19,5.1,32.53,11.3,2.92,0.13,-0.54,-0.52
2016,7,9,23.67,0.18,97.36,229.81,32.01,4.34,31.22,10.95,3.03,0.13,-0.54,-0.57
2016,7,10,23.78,3.64,97.36,231.56,32.98,3.11,31.56,10.6,3.13,0.12,-0.55,-0.61
2016,7,11,22.68,2.28,97.38,228.81,33.74,2.76,31.97,12.16,4.36,0.15,-0.38,-0.53
2016,7,12,23.65,6.11,97.5,244.56,31.4,3.16,30.13,13.71,5.59,0.17,-0.22,-0.45
2016,7,13,23.86,5.57,97.51,247.06,32.35,4.0,30.65,15.27,6.82,0.19,-0.06,-0.37
2016,7,14,23.98,0.13,97.52,219.31,31.94,3.04,30.36,15.3,5.73,0.18,-0.24,-0.4
2016,7,15,23.43,1.01,97.61,215.94,31.93,2.39,30.48,15.34,4.64,0.18,-0.42,-0.44
2016,7,16,23.34,0.41,97.67,215.06,31.37,3.16,29.94,15.37,3.55,0.17,-0.61,-0.47
2016,7,17,23.22,0.02,97.85,219.06,29.24,4.34,28.73,14.46,3.36,0.16,-0.66,-0.54
2016,7,18,22.82,0.31,97.86,218.31,31.45,2.68,29.77,13.55,3.18,0.15,-0.71,-0.61
2016,7,19,22.29,0.06,97.82,225.06,32.25,3.55,30.5,12.65,2.99,0.14,-0.76,-0.68
2016,7,20,22.37,0.0,97.81,220.94,32.89,3.66,31.06,12.03,2.91,0.13,-0.79,-0.73
2016,7,21,21.5,0.0,97.72,215.88,33.65,3.27,31.69,11.42,2.83,0.13,-0.83,-0.78
2016,7,22,21.43,0.0,97.6,217.38,34.39,4.07,32.32,10.81,2.74,0.12,-0.87,-0.83
2016,7,23,20.77,0.09,97.68,210.0,35.23,3.53,32.48,10.84,4.0,0.13,-0.73,-0.85
2016,7,24,21.47,3.44,97.79,138.06,35.79,3.16,32.84,10.87,5.26,0.14,-0.58,-0.88
2016,7,25,21.99,0.75,97.79,184.19,35.62,4.12,33.03,10.9,6.52,0.16,-0.44,-0.91
2016,7,26,23.13,1.05,97.83,234.62,33.44,3.38,31.71,14.08,6.97,0.19,-0.4,-0.78
2016,7,27,23.71,8.31,97.95,235.69,29.48,3.0,28.38,17.26,7.42,0.22,-0.36,-0.64
2016,7,28,23.47,8.45,97.89,260.25,30.01,3.27,28.69,20.43,7.86,0.25,-0.31,-0.51
2016,7,29,23.61,16.65,97.76,239.31,30.87,1.82,29.46,21.98,8.3,0.27,-0.27,-0.47
2016,7,30,23.73,17.21,97.71,212.0,31.27,3.5,29.76,23.52,8.74,0.29,-0.23,-0.44
2016,7,31,23.73,6.0,97.72,229.19,31.73,2.99,30.21,25.06,9.18,0.3,-0.18,-0.4
2016,8,1,23.81,2.92,97.52,225.0,31.73,2.48,30.61,28.16,10.95,0.35,0.06,-0.27
2016,8,2,23.52,5.26,97.35,226.56,29.85,3.58,29.12,31.26,12.71,0.39,0.3,-0.14
2016,8,3,23.6,21.28,97.36,164.19,30.65,2.63,29.51,34.37,14.48,0.43,0.55,-0.01
2016,8,4,24.73,9.32,97.42,227.69,30.12,1.87,29.28,36.49,14.28,0.45,0.52,0.06
2016,8,5,25.75,10.27,97.4,88.56,29.49,3.32,29.08,38.61,14.08,0.47,0.49,0.13
2016,8,6,25.26,6.38,97.42,114.69,31.02,2.78,30.09,40.73,13.89,0.48,0.46,0.19
2016,8,7,24.89,8.58,97.56,126.56,30.54,2.72,29.84,44.79,14.8,0.52,0.63,0.39
2016,8,8,24.88,35.47,97.68,266.12,27.65,2.05,27.48,48.85,15.72,0.57,0.8,0.58
2016,8,9,25.73,104.62,97.52,284.75,28.01,2.4,27.94,52.92,16.64,0.61,0.96,0.77
2016,8,10,25.15,23.31,97.6,246.06,27.24,3.32,27.25,52.43,14.98,0.59,0.7,0.75
2016,8,11,24.66,15.46,97.85,232.31,27.27,4.02,27.18,51.95,13.33,0.57,0.43,0.73
2016,8,12,24.24,0.08,97.94,222.0,28.05,3.55,27.69,51.46,11.68,0.55,0.16,0.71
2016,8,13,23.86,0.0,97.87,214.12,27.83,3.36,27.39,48.46,10.88,0.51,0.01,0.52
2016,8,14,23.56,0.0,97.81,210.75,27.64,3.58,27.18,45.45,10.08,0.48,-0.13,0.34
2016,8,15,23.22,0.0,97.74,215.75,27.37,2.91,26.89,42.45,9.28,0.44,-0.28,0.15
2016,8,16,23.1,0.0,97.61,216.75,27.33,3.84,26.92,40.12,9.11,0.42,-0.31,-0.0
2016,8,17,23.37,0.0,97.62,210.31,27.78,3.67,27.16,37.79,8.94,0.4,-0.34,-0.15
2016,8,18,23.19,0.33,97.74,232.44,28.15,3.32,27.59,35.45,8.76,0.38,-0.37,-0.3
2016,8,19,22.77,0.27,97.72,241.62,27.44,4.13,27.26,35.87,9.81,0.39,-0.19,-0.29
2016,8,20,23.76,3.25,97.58,284.31,28.4,4.26,28.31,36.29,10.86,0.4,-0.01,-0.28
2016,8,21,24.66,12.23,97.54,310.56,29.2,3.62,29.12,36.7,11.91,0.41,0.16,-0.27
2016,8,22,24.38,3.51,97.72,168.44,29.4,2.8,29.08,39.83,12.24,0.45,0.26,-0.05
2016,8,23,24.63,11.19,97.76,162.5,27.1,3.74,27.35,42.96,12.57,0.48,0.36,0.17
2016,8,24,24.37,7.26,97.75,133.62,27.99,3.3,27.73,46.09,12.9,0.51,0.46,0.38
2016,8,25,24.55,4.57,97.85,222.31,28.35,2.09,27.82,45.56,12.64,0.5,0.43,0.4
2016,8,26,24.9,0.13,97.94,145.5,29.78,2.1,28.9,45.03,12.38,0.5,0.4,0.41
2016,8,27,25.46,5.69,98.0,91.88,28.62,3.8,28.37,44.5,12.11,0.49,0.37,0.43
2016,8,28,24.91,9.12,98.07,84.75,28.28,1.23,27.94,44.87,12.13,0.49,0.42,0.53
2016,8,29,24.65,5.96,97.9,205.0,28.73,1.73,28.08,45.23,12.15,0.5,0.47,0.62
2016,8,30,24.48,22.7,97.78,239.31,28.61,3.17,28.29,45.6,12.17,0.5,0.52,0.72
