Year,MO,DY,T2M,T2MDEW,TS,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM,SSMA,SMP,SUSMA
2016,2,17,26.56,13.54,26.47,0.0,1.55,99.92,312.69,2.57,11.5,-0.5,0.11,-0.59
2016,2,18,26.35,11.89,25.69,0.0,2.39,99.76,297.88,2.54,11.38,-0.51,0.11,-0.61
2016,2,19,26.38,11.02,26.17,0.0,2.94,99.68,286.88,2.51,11.26,-0.52,0.11,-0.63
2016,2,20,26.77,10.71,26.88,0.0,3.09,99.55,293.5,2.49,11.14,-0.53,0.1,-0.64
2016,2,21,27.22,12.57,27.37,0.0,3.73,99.34,286.94,2.53,11.08,-0.52,0.1,-0.65
2016,2,22,25.62,7.87,25.5,0.0,4.15,99.58,315.5,2.58,11.03,-0.5,0.1,-0.66
2016,2,23,25.02,2.9,24.18,0.0,2.66,99.59,225.56,2.62,10.97,-0.49,0.1,-0.67
2016,2,24,24.8,10.81,25.05,2.1,1.33,99.57,123.62,3.23,11.61,-0.28,0.11,-0.6
2016,2,25,24.31,11.53,25.34,0.86,2.04,99.78,110.56,3.83,12.24,-0.08,0.12,-0.52
2016,2,26,22.49,19.53,22.74,10.99,2.91,100.02,150.88,4.44,12.88,0.12,0.13,-0.45
2016,2,27,24.01,17.49,25.42,0.34,1.88,99.98,182.38,3.93,13.08,-0.06,0.13,-0.43
2016,2,28,24.56,16.62,25.76,2.61,2.09,100.1,166.94,3.42,13.27,-0.23,0.13,-0.42
2016,2,29,25.65,13.77,26.26,0.13,1.48,100.01,242.25,2.91,13.47,-0.41,0.13,-0.4
2016,3,1,25.44,13.89,26.22,1.39,1.45,99.79,197.75,2.82,13.15,-0.44,0.12,-0.44
2016,3,2,25.8,13.61,26.34,0.47,1.2,99.78,196.44,2.73,12.83,-0.47,0.12,-0.48
2016,3,3,26.27,6.15,25.19,0.0,1.63,99.8,297.38,2.64,12.5,-0.5,0.12,-0.52
2016,3,4,27.03,7.45,26.09,0.0,2.27,99.57,262.0,2.67,12.34,-0.49,0.12,-0.54
2016,3,5,27.94,9.96,27.73,0.0,1.28,99.49,155.44,2.71,12.17,-0.49,0.11,-0.56
2016,3,6,27.32,11.94,26.71,3.46,1.55,99.53,177.12,2.74,12.01,-0.48,0.11,-0.58
2016,3,7,26.7,10.76,26.53,0.48,2.8,99.48,300.06,2.69,12.0,-0.5,0.11,-0.58
2016,3,8,26.52,14.47,26.84,0.29,3.55,99.37,285.31,2.63,12.0,-0.52,0.11,-0.59
2016,3,9,28.08,14.87,28.49,0.04,2.91,99.33,286.94,2.58,12.0,-0.54,0.11,-0.6
2016,3,10,28.35,13.56,28.4,0.26,1.85,99.48,291.5,2.67,11.81,-0.51,0.11,-0.62
2016,3,11,28.69,12.11,29.05,0.0,2.27,99.48,292.94,2.75,11.63,-0.48,0.11,-0.63
2016,3,12,28.04,11.19,27.9,0.0,3.23,99.31,260.44,2.84,11.44,-0.45,0.11,-0.65
2016,3,13,27.36,12.05,28.3,0.05,3.82,99.47,287.38,2.76,11.57,-0.47,0.11,-0.63
2016,3,14,26.48,13.6,27.95,0.33,2.44,99.6,219.0,2.67,11.7,-0.48,0.11,-0.61
2016,3,15,26.65,15.14,28.28,1.62,2.58,99.47,264.38,2.59,11.82,-0.5,0.11,-0.58
2016,3,16,26.83,10.95,28.12,0.0,3.23,99.4,318.19,2.54,11.62,-0.5,0.11,-0.59
2016,3,17,26.46,6.25,27.58,0.0,1.94,99.5,247.19,2.5,11.43,-0.51,0.11,-0.6
2016,3,18,27.88,10.7,28.3,0.0,1.82,99.34,208.5,2.45,11.23,-0.51,0.1,-0.6
2016,3,19,28.82,15.44,30.27,0.08,1.81,99.16,194.62,2.44,11.13,-0.5,0.1,-0.6
2016,3,20,30.05,15.81,31.3,0.67,1.19,99.14,222.69,2.43,11.02,-0.49,0.1,-0.59
2016,3,21,30.19,10.94,31.05,0.0,2.21,99.02,283.5,2.42,10.92,-0.48,0.1,-0.58
2016,3,22,29.3,6.76,29.76,0.0,2.93,99.02,293.69,2.4,10.83,-0.49,0.1,-0.59
2016,3,23,28.4,1.2,28.57,0.0,2.39,99.23,267.19,2.39,10.73,-0.49,0.1,-0.59
2016,3,24,27.75,7.03,28.84,0.0,1.94,99.59,186.06,2.37,10.64,-0.5,0.1,-0.6
2016,3,25,28.54,16.17,30.39,0.0,2.99,99.62,191.69,2.37,10.57,-0.5,0.1,-0.6
2016,3,26,29.67,16.69,31.47,0.0,2.5,99.45,168.62,2.36,10.51,-0.5,0.1,-0.61
2016,3,27,30.24,17.72,32.44,0.0,3.16,99.37,166.0,2.36,10.44,-0.5,0.1,-0.62
2016,3,28,30.13,14.15,31.67,0.08,3.09,99.4,177.38,2.35,10.41,-0.51,0.1,-0.62
2016,3,29,29.93,15.5,31.99,0.06,2.47,99.41,183.0,2.35,10.38,-0.52,0.1,-0.62
2016,3,30,30.1,17.8,32.73,0.73,2.57,99.42,122.69,2.34,10.35,-0.52,0.1,-0.63
2016,3,31,29.28,19.19,30.94,6.27,2.31,99.21,139.25,2.34,10.33,-0.53,0.1,-0.64
2016,4,1,28.96,16.17,30.97,1.46,2.56,99.09,129.62,2.35,10.3,-0.53,0.1,-0.64
2016,4,2,29.79,19.08,32.24,0.11,2.71,99.2,119.12,2.35,10.27,-0.53,0.1,-0.65
2016,4,3,31.15,19.75,33.51,1.11,2.4,99.2,157.69,2.35,10.26,-0.5,0.1,-0.65
2016,4,4,31.69,18.65,33.65,0.13,2.14,99.0,203.12,2.36,10.24,-0.46,0.1,-0.66
2016,4,5,33.15,16.94,34.5,0.01,1.88,98.81,217.5,2.36,10.22,-0.43,0.1,-0.67
2016,4,6,33.21,11.55,33.83,0.02,3.48,98.91,284.38,2.36,10.23,-0.43,0.1,-0.66
2016,4,7,34.25,11.37,36.24,0.0,2.57,98.96,260.56,2.36,10.24,-0.44,0.1,-0.65
2016,4,8,33.94,13.35,36.36,0.28,2.18,99.06,207.0,2.36,10.24,-0.44,0.1,-0.65
2016,4,9,34.94,12.53,36.33,0.19,3.06,98.97,246.62,2.36,10.23,-0.44,0.1,-0.64
2016,4,10,35.48,8.65,36.52,0.0,2.94,98.96,277.56,2.36,10.22,-0.44,0.1,-0.62
2016,4,11,35.61,9.23,36.31,0.0,3.48,98.81,275.06,2.36,10.2,-0.43,0.1,-0.61
2016,4,12,34.85,6.86,36.07,0.0,4.37,98.63,293.0,2.36,10.18,-0.45,0.1,-0.6
2016,4,13,34.33,5.48,35.7,0.0,3.48,98.56,282.31,2.35,10.17,-0.46,0.1,-0.6
2016,4,14,34.11,5.35,35.51,0.0,2.55,98.68,254.75,2.34,10.15,-0.47,0.1,-0.59
2016,4,15,34.57,7.02,36.22,0.0,2.84,98.79,247.0,2.34,10.14,-0.47,0.1,-0.6
2016,4,16,35.62,11.81,37.19,0.0,3.61,98.59,217.75,2.35,10.13,-0.48,0.1,-0.6
2016,4,17,34.61,15.83,37.1,0.0,3.26,98.7,115.69,2.35,10.12,-0.49,0.1,-0.61
2016,4,18,34.46,19.19,36.99,0.86,3.09,98.8,122.94,2.35,10.14,-0.5,0.1,-0.62
2016,4,19,35.49,14.86,38.21,0.24,1.7,98.8,224.88,2.35,10.16,-0.52,0.1,-0.63
2016,4,20,36.11,8.82,37.12,0.0,3.33,98.79,251.06,2.35,10.18,-0.54,0.1,-0.64
2016,4,21,36.22,10.96,37.83,0.0,3.03,98.57,243.56,2.35,10.17,-0.54,0.1,-0.65
2016,4,22,35.9,10.18,37.52,0.0,2.59,98.44,232.38,2.34,10.16,-0.54,0.1,-0.67
2016,4,23,36.26,7.9,38.08,0.0,3.42,98.13,243.31,2.34,10.15,-0.55,0.1,-0.68
2016,4,24,35.65,4.27,37.14,0.0,3.76,98.36,272.56,2.34,10.14,-0.55,0.1,-0.68
2016,4,25,34.68,9.59,37.21,0.0,1.93,98.7,208.75,2.34,10.14,-0.55,0.1,-0.69
2016,4,26,35.15,16.99,38.69,0.0,2.62,98.98,138.0,2.34,10.13,-0.56,0.1,-0.7
2016,4,27,36.16,13.65,39.33,0.0,2.05,98.82,226.88,2.35,10.15,-0.56,0.1,-0.7
2016,4,28,36.18,13.03,38.31,0.0,2.52,98.71,225.44,2.35,10.16,-0.56,0.1,-0.71
2016,4,29,36.44,8.1,38.61,0.0,2.42,98.78,239.0,2.35,10.17,-0.57,0.1,-0.71
2016,4,30,35.2,8.67,36.96,0.01,2.85,98.79,220.06,2.36,10.2,-0.57,0.1,-0.72
2016,5,1,35.46,9.33,37.19,0.0,3.74,98.62,230.12,2.38,10.23,-0.57,0.1,-0.72
2016,5,2,34.12,10.71,36.51,0.01,2.23,98.8,131.81,2.39,10.26,-0.58,0.1,-0.73
2016,5,3,33.8,16.84,37.19,0.28,2.8,98.88,98.94,2.48,10.5,-0.57,0.1,-0.72
2016,5,4,31.98,20.47,34.18,9.98,2.67,98.98,125.88,2.57,10.74,-0.55,0.1,-0.72
2016,5,5,32.0,16.94,34.23,0.2,2.58,99.06,211.31,2.65,10.98,-0.54,0.11,-0.71
2016,5,6,32.08,17.91,33.49,5.68,3.2,98.97,203.88,2.63,11.0,-0.55,0.11,-0.71
2016,5,7,33.39,18.69,36.19,1.04,2.12,98.96,144.25,2.61,11.02,-0.55,0.11,-0.71
2016,5,8,31.9,20.11,34.02,7.03,3.4,99.12,162.69,2.59,11.05,-0.56,0.1,-0.71
2016,5,9,32.67,19.53,35.07,1.0,3.29,99.1,163.75,2.58,11.06,-0.57,0.1,-0.71
2016,5,10,33.3,19.22,35.73,1.31,3.38,99.08,186.5,2.57,11.07,-0.58,0.1,-0.72
2016,5,11,31.98,18.89,34.06,1.4,2.19,99.0,162.12,2.56,11.08,-0.59,0.1,-0.72
2016,5,12,33.49,18.08,35.3,0.1,2.95,98.66,197.31,2.96,11.16,-0.5,0.11,-0.73
2016,5,13,33.06,22.45,34.68,11.19,3.7,98.62,171.62,3.37,11.23,-0.41,0.11,-0.73
2016,5,14,32.59,22.82,34.1,8.18,3.98,98.78,162.69,3.78,11.31,-0.32,0.12,-0.74
2016,5,15,34.38,22.58,35.98,5.18,3.88,98.78,204.25,5.24,13.96,0.09,0.15,-0.54
2016,5,16,33.89,23.16,35.1,4.13,4.63,98.62,205.0,6.71,16.62,0.49,0.18,-0.35
2016,5,17,32.75,22.51,33.96,13.36,5.95,98.55,206.88,8.18,19.27,0.89,0.21,-0.15
2016,5,18,32.66,22.13,34.25,1.11,6.01,98.54,187.69,6.74,19.39,0.51,0.2,-0.13
2016,5,19,30.44,22.58,31.87,3.1,6.03,98.71,162.88,5.3,19.5,0.13,0.19,-0.11
2016,5,20,29.3,22.58,30.93,10.13,3.53,98.44,102.0,3.86,19.62,-0.24,0.18,-0.09
2016,5,21,31.69,20.23,33.3,0.13,4.25,98.21,153.62,3.72,18.98,-0.29,0.17,-0.14
2016,5,22,33.41,19.74,35.44,0.64,2.97,98.21,204.75,3.58,18.34,-0.33,0.17,-0.18
2016,5,23,33.87,23.01,36.28,0.8,2.79,98.37,135.0,3.43,17.7,-0.37,0.16,-0.22
2016,5,24,34.65,21.49,36.71,0.46,2.76,98.36,224.12,3.27,16.82,-0.42,0.15,-0.3
2016,5,25,34.6,19.8,36.5,1.87,2.25,98.18,190.12,3.1,15.94,-0.47,0.15,-0.38
2016,5,26,32.98,20.11,34.1,5.55,2.03,98.41,223.19,2.93,15.06,-0.52,0.14,-0.46
2016,5,27,33.69,18.54,35.18,1.9,2.53,98.49,199.56,3.11,15.19,-0.49,0.14,-0.45
2016,5,28,33.14,19.98,35.36,2.92,2.23,98.52,163.88,3.28,15.33,-0.46,0.14,-0.44
2016,5,29,32.4,21.67,34.08,8.67,1.7,98.57,120.25,3.46,15.46,-0.43,0.15,-0.43
2016,5,30,33.76,20.3,36.56,0.33,2.01,98.55,192.81,3.53,15.67,-0.43,0.15,-0.42
2016,5,31,32.26,22.7,33.86,12.83,2.49,98.71,189.38,3.61,15.87,-0.43,0.15,-0.41
2016,6,1,32.33,22.2,34.49,5.18,2.92,98.76,154.94,3.68,16.07,-0.43,0.15,-0.4
2016,6,2,32.51,21.65,35.27,0.55,2.89,98.71,141.31,3.5,15.73,-0.48,0.15,-0.44
2016,6,3,32.1,22.53,34.66,1.03,4.05,98.74,146.19,3.32,15.38,-0.52,0.15,-0.47
2016,6,4,31.55,22.37,34.18,2.49,3.96,98.83,157.5,3.14,15.04,-0.57,0.14,-0.5
2016,6,5,31.9,21.62,34.59,0.41,4.45,98.87,166.44,3.06,14.48,-0.61,0.14,-0.54
2016,6,6,31.1,23.24,33.26,1.66,3.75,98.81,149.94,2.97,13.92,-0.64,0.13,-0.58
2016,6,7,32.07,23.0,34.5,0.61,3.77,98.72,156.19,2.89,13.36,-0.68,0.13,-0.63
2016,6,8,32.63,22.64,35.14,0.38,3.9,98.55,152.44,2.82,13.09,-0.71,0.12,-0.66
2016,6,9,32.88,21.77,35.62,0.64,2.73,98.37,146.69,2.75,12.83,-0.74,0.12,-0.69
2016,6,10,33.64,21.94,35.02,1.43,3.78,98.26,217.0,2.68,12.56,-0.77,0.12,-0.72
2016,6,11,35.7,21.69,37.2,4.66,3.15,98.17,218.0,3.21,13.08,-0.72,0.13,-0.71
2016,6,12,36.21,20.98,38.04,3.17,3.75,98.17,211.19,3.74,13.59,-0.67,0.14,-0.71
2016,6,13,31.04,24.55,31.31,19.67,3.9,98.36,192.31,4.27,14.11,-0.62,0.14,-0.7
2016,6,14,31.15,24.47,31.85,4.29,3.11,98.22,171.88,5.37,16.65,-0.53,0.17,-0.64
2016,6,15,30.27,25.35,30.48,14.06,2.96,98.21,195.75,6.46,19.19,-0.43,0.2,-0.57
2016,6,16,30.05,24.69,30.8,9.09,1.81,98.31,124.94,7.56,21.73,-0.33,0.23,-0.5
2016,6,17,29.23,24.76,30.05,17.29,3.44,98.4,156.44,6.81,22.83,-0.47,0.24,-0.51
2016,6,18,29.22,23.99,30.15,1.73,3.55,98.6,132.12,6.07,23.92,-0.61,0.24,-0.51
2016,6,19,29.53,24.52,30.8,5.88,4.42,98.72,158.44,5.32,25.02,-0.75,0.24,-0.52
2016,6,20,28.89,24.24,29.57,1.35,4.85,98.75,174.19,5.73,24.71,-0.76,0.24,-0.58
2016,6,21,30.79,23.47,32.06,3.81,4.86,98.64,179.75,6.13,24.39,-0.77,0.24,-0.64
2016,6,22,30.3,23.85,31.3,3.2,3.68,98.75,184.06,6.53,24.08,-0.78,0.24,-0.7
2016,6,23,28.92,24.74,29.3,8.97,3.44,98.67,197.12,6.17,24.44,-0.88,0.24,-0.75
2016,6,24,28.69,24.53,29.0,7.11,3.62,98.54,199.12,5.8,24.81,-0.99,0.24,-0.79
2016,6,25,28.94,24.67,29.47,3.7,2.48,98.67,164.38,5.44,25.18,-1.09,0.24,-0.84
2016,6,26,30.3,24.03,31.85,3.11,2.8,98.63,166.94,5.35,24.57,-1.16,0.24,-0.92
2016,6,27,30.25,24.73,31.35,5.81,2.78,98.46,137.75,5.27,23.97,-1.23,0.23,-1.0
2016,6,28,29.75,25.02,30.57,7.21,4.27,98.52,129.56,5.18,23.37,-1.3,0.22,-1.08
2016,6,29,29.44,25.45,30.14,4.98,3.72,98.63,129.88,8.91,24.74,-0.91,0.26,-1.1
2016,6,30,30.09,24.88,31.2,1.88,3.32,98.45,139.56,12.63,26.11,-0.51,0.3,-1.12
2016,7,1,30.23,25.2,31.36,1.82,2.84,98.2,130.75,16.36,27.48,-0.12,0.34,-1.14
2016,7,2,29.04,26.01,29.35,18.41,3.44,98.13,72.31,16.94,36.68,-0.1,0.42,-0.91
2016,7,3,27.9,25.55,27.96,21.93,4.24,98.05,176.06,17.51,45.89,-0.09,0.5,-0.68
2016,7,4,27.94,24.79,27.92,35.78,7.55,98.07,209.44,18.09,55.09,-0.07,0.58,-0.45
2016,7,5,28.27,25.36,28.46,9.86,4.95,98.06,202.0,16.64,56.58,-0.34,0.58,-0.48
2016,7,6,29.23,25.89,29.85,6.88,3.82,98.05,172.12,15.19,58.08,-0.61,0.58,-0.5
2016,7,7,28.76,25.26,29.19,6.84,3.83,98.16,168.56,13.75,59.57,-0.88,0.58,-0.52
2016,7,8,28.58,25.14,29.21,9.83,4.02,98.07,119.38,14.32,59.52,-0.89,0.58,-0.61
2016,7,9,28.07,25.12,28.31,11.69,4.23,98.0,129.94,14.88,59.48,-0.89,0.58,-0.69
2016,7,10,28.38,24.52,29.08,2.9,4.84,97.94,122.81,15.45,59.43,-0.89,0.59,-0.78
2016,7,11,28.8,25.45,29.33,11.26,4.7,98.07,114.62,15.94,60.81,-0.93,0.6,-0.81
2016,7,12,28.99,25.52,29.54,13.08,4.24,98.25,134.38,16.42,62.19,-0.96,0.62,-0.85
2016,7,13,28.85,25.72,29.05,21.11,2.96,98.25,175.69,16.91,63.58,-0.99,0.63,-0.88
2016,7,14,28.48,25.56,28.68,9.57,2.99,98.23,221.75,18.56,69.01,-0.67,0.69,-0.71
2016,7,15,28.14,26.26,28.17,26.08,2.27,98.25,168.88,20.22,74.44,-0.34,0.74,-0.53
2016,7,16,27.63,25.62,27.54,7.47,4.72,98.44,216.88,21.87,79.86,-0.02,0.8,-0.36
2016,7,17,27.46,24.66,27.26,7.56,6.23,98.82,208.62,22.17,82.33,0.02,0.82,-0.28
2016,7,18,28.62,24.67,29.21,2.2,3.88,98.68,234.44,22.47,84.8,0.06,0.84,-0.21
2016,7,19,28.08,25.05,28.13,6.86,3.23,98.55,229.31,22.77,87.28,0.1,0.86,-0.13
2016,7,20,28.45,25.49,28.55,16.0,3.15,98.52,202.25,21.89,87.92,-0.21,0.85,-0.16
2016,7,21,28.25,25.36,28.31,5.56,3.34,98.58,192.38,21.01,88.57,-0.53,0.85,-0.2
2016,7,22,27.88,25.21,28.03,13.98,4.19,98.67,172.25,20.12,89.22,-0.84,0.85,-0.23
2016,7,23,27.57,24.91,27.74,8.32,4.34,98.77,163.94,20.64,89.11,-0.7,0.85,-0.32
2016,7,24,27.44,24.87,27.71,2.65,4.04,98.83,163.94,21.16,89.0,-0.57,0.86,-0.41
2016,7,25,27.46,24.72,27.69,17.96,4.01,98.9,161.56,21.67,88.89,-0.43,0.86,-0.5
2016,7,26,27.09,24.51,27.31,14.47,3.98,99.03,162.19,21.53,88.62,-0.53,0.85,-0.6
2016,7,27,27.9,24.24,28.59,2.29,3.58,98.99,187.44,21.39,88.35,-0.63,0.85,-0.69
2016,7,28,28.77,24.74,29.31,0.05,2.4,98.82,215.31,21.26,88.08,-0.74,0.85,-0.78
2016,7,29,28.59,25.1,28.92,4.0,2.34,98.66,197.44,21.89,89.18,-0.52,0.86,-0.71
2016,7,30,27.95,24.99,28.22,4.4,1.96,98.62,139.94,22.53,90.29,-0.3,0.87,-0.64
2016,7,31,28.48,25.19,28.83,13.39,1.48,98.51,71.94,23.17,91.39,-0.09,0.89,-0.57
2016,8,1,28.38,25.36,28.45,23.78,2.27,98.26,141.19,23.24,92.24,-0.09,0.89,-0.5
2016,8,2,27.58,25.32,27.65,27.34,3.52,98.06,101.12,23.31,93.09,-0.1,0.9,-0.43
2016,8,3,27.84,24.92,28.05,13.47,4.34,98.11,118.88,23.37,93.94,-0.11,0.91,-0.36
2016,8,4,27.75,25.06,28.05,6.19,3.82,98.16,111.94,23.82,95.47,0.03,0.92,-0.23
2016,8,5,27.93,25.83,28.01,14.05,4.95,98.22,102.94,24.27,97.0,0.18,0.94,-0.09
2016,8,6,28.16,25.59,28.45,8.37,4.77,98.26,131.62,24.71,98.53,0.32,0.95,0.04
2016,8,7,28.08,25.3,28.33,9.43,2.66,98.38,132.19,24.91,100.46,0.38,0.96,0.17
2016,8,8,28.07,25.44,28.36,8.52,2.39,98.42,203.5,25.1,102.4,0.44,0.98,0.3
2016,8,9,27.57,25.51,27.62,10.01,2.85,98.28,221.94,25.3,104.33,0.5,0.99,0.42
2016,8,10,27.79,25.31,27.86,43.16,4.36,98.28,178.12,24.91,104.27,0.32,0.99,0.38
2016,8,11,27.33,25.32,27.1,27.49,7.91,98.13,236.5,24.52,104.22,0.15,0.98,0.34
2016,8,12,28.26,25.86,28.3,23.89,4.8,98.34,165.06,24.13,104.16,-0.03,0.98,0.3
2016,8,13,28.35,25.51,28.53,5.98,4.47,98.37,163.81,24.4,104.24,0.12,0.98,0.31
2016,8,14,28.53,25.88,28.65,2.44,2.87,98.28,170.75,24.67,104.33,0.26,0.99,0.32
2016,8,15,27.74,26.24,27.65,4.8,3.02,98.08,144.69,24.94,104.41,0.4,0.99,0.33
2016,8,16,28.27,25.72,28.18,2.52,2.2,97.92,100.62,24.15,104.39,0.05,0.98,0.32
2016,8,17,27.23,25.62,27.07,37.91,5.78,97.71,49.12,23.37,104.38,-0.29,0.97,0.31
2016,8,18,27.64,25.57,27.44,15.79,6.87,97.91,138.19,22.58,104.36,-0.64,0.97,0.3
2016,8,19,27.81,24.69,28.08,0.54,2.92,98.45,192.5,23.35,104.69,-0.28,0.98,0.37
2016,8,20,28.44,24.9,28.55,0.02,3.02,98.52,247.44,24.12,105.01,0.09,0.99,0.45
2016,8,21,28.03,25.07,27.81,24.31,3.59,98.48,275.62,24.89,105.34,0.45,0.99,0.53
2016,8,22,26.67,25.0,26.55,115.92,4.05,98.57,197.25,24.22,104.36,0.21,0.98,0.37
2016,8,23,27.33,24.44,27.52,1.41,2.8,98.77,163.06,23.56,103.38,-0.03,0.97,0.22
2016,8,24,27.52,24.79,27.6,0.15,1.41,98.72,206.06,22.9,102.39,-0.26,0.95,0.06
2016,8,25,28.71,25.26,29.01,5.46,1.73,98.76,178.5,21.79,100.83,-0.66,0.93,-0.17
2016,8,26,27.41,25.68,27.4,6.12,2.18,98.86,143.75,20.67,99.26,-1.05,0.91,-0.4
2016,8,27,27.65,25.25,27.87,0.64,2.14,99.0,149.75,19.56,97.69,-1.44,0.89,-0.64
2016,8,28,28.09,24.99,28.53,0.01,2.15,98.97,198.38,19.41,95.19,-1.46,0.87,-0.96
2016,8,29,27.73,24.82,27.81,0.04,2.81,98.78,182.81,19.25,92.69,-1.48,0.85,-1.28
2016,8,30,28.0,25.03,28.27,0.09,3.35,98.67,184.75,19.1,90.19,-1.49,0.83,-1.6
