Year,MO,DY,T2MDEW,PRECTOTCORR,PS,WD10M,TS,WS10M_RANGE,T2M,SUSM,SSM,SUSMA,SSMA,SMP
2016,3,31,16.49,1.19,95.64,238.94,32.07,2.45,30.13,17.06,2.77,-0.62,-0.54,0.12
2016,4,1,14.12,0.76,95.44,239.06,33.12,3.2,31.05,17.08,2.68,-0.62,-0.56,0.12
2016,4,2,12.26,0.0,95.47,249.81,33.08,4.93,31.67,17.09,2.6,-0.63,-0.59,0.12
2016,4,3,11.41,0.0,95.57,252.5,33.25,3.79,31.94,17.0,2.64,-0.65,-0.59,0.12
2016,4,4,12.02,0.0,95.42,263.94,34.32,2.37,32.73,16.92,2.68,-0.66,-0.59,0.12
2016,4,5,11.87,0.01,95.37,261.19,34.65,3.7,32.91,16.83,2.72,-0.67,-0.58,0.12
2016,4,6,11.44,0.01,95.5,259.06,33.76,3.5,32.65,16.77,2.7,-0.69,-0.59,0.11
2016,4,7,12.12,0.02,95.48,280.75,34.7,3.56,33.23,16.71,2.67,-0.71,-0.59,0.11
2016,4,8,13.4,0.3,95.51,169.19,35.3,2.82,33.22,16.65,2.65,-0.73,-0.59,0.11
2016,4,9,10.8,0.0,95.54,234.56,35.44,3.63,33.33,16.49,2.61,-0.74,-0.6,0.11
2016,4,10,9.44,0.0,95.59,247.19,35.06,3.94,33.32,16.33,2.58,-0.75,-0.61,0.11
2016,4,11,9.94,0.0,95.46,265.0,35.26,3.52,33.8,16.17,2.54,-0.76,-0.63,0.11
2016,4,12,8.94,0.0,95.27,279.06,35.27,3.84,33.76,15.98,2.51,-0.77,-0.64,0.11
2016,4,13,7.5,0.0,95.14,246.94,35.15,4.38,33.92,15.78,2.47,-0.78,-0.65,0.11
2016,4,14,7.09,0.0,95.2,245.94,35.29,2.67,34.09,15.59,2.43,-0.78,-0.66,0.11
2016,4,15,6.2,0.0,95.34,242.38,34.74,3.41,33.46,15.39,2.41,-0.8,-0.67,0.1
2016,4,16,12.1,0.0,95.22,243.56,35.98,4.73,34.15,15.19,2.39,-0.82,-0.68,0.1
2016,4,17,12.43,0.0,95.17,254.88,37.54,5.02,35.63,14.99,2.37,-0.83,-0.69,0.1
2016,4,18,14.44,0.74,95.3,231.0,36.54,4.34,35.03,14.86,2.36,-0.85,-0.7,0.1
2016,4,19,12.4,0.46,95.35,237.38,37.63,3.85,35.3,14.74,2.35,-0.86,-0.72,0.1
2016,4,20,13.16,0.05,95.41,253.12,37.07,3.24,35.02,14.61,2.34,-0.88,-0.74,0.1
2016,4,21,13.61,0.04,95.18,247.44,38.02,4.13,36.2,14.48,2.32,-0.89,-0.75,0.1
2016,4,22,12.4,0.01,95.04,257.25,38.16,5.79,36.28,14.35,2.29,-0.91,-0.76,0.1
2016,4,23,8.35,0.01,94.89,259.75,36.87,4.66,35.26,14.22,2.26,-0.92,-0.77,0.1
2016,4,24,8.44,0.0,94.9,268.5,37.18,4.09,35.1,14.16,2.27,-0.93,-0.77,0.1
2016,4,25,10.13,0.0,95.09,226.25,37.44,3.23,35.69,14.11,2.28,-0.93,-0.77,0.1
2016,4,26,16.26,2.74,95.34,244.19,37.72,4.11,35.15,14.06,2.28,-0.94,-0.77,0.1
2016,4,27,16.41,1.02,95.3,251.5,37.19,2.34,34.78,14.42,2.44,-0.93,-0.75,0.1
2016,4,28,14.2,0.0,95.26,260.56,36.68,4.63,34.52,14.79,2.59,-0.91,-0.72,0.1
2016,4,29,14.66,2.42,95.34,256.06,36.74,3.65,34.45,15.15,2.74,-0.9,-0.69,0.1
2016,4,30,15.26,1.28,95.36,242.0,34.86,3.5,33.21,15.35,2.82,-0.9,-0.69,0.11
2016,5,1,11.58,0.11,95.21,255.0,35.33,4.66,33.92,15.56,2.91,-0.9,-0.68,0.11
2016,5,2,11.38,0.29,95.2,248.88,35.53,6.91,34.16,15.76,2.99,-0.89,-0.67,0.11
2016,5,3,15.7,0.18,95.38,235.69,32.43,6.49,30.9,15.76,2.82,-0.9,-0.71,0.11
2016,5,4,13.47,0.75,95.36,252.0,35.16,3.73,32.56,15.77,2.64,-0.91,-0.75,0.11
2016,5,5,17.45,8.59,95.47,240.69,32.26,4.09,30.83,15.77,2.47,-0.92,-0.79,0.11
2016,5,6,15.25,0.01,95.42,247.56,33.12,3.18,31.3,15.69,2.48,-0.93,-0.79,0.11
2016,5,7,15.44,0.02,95.4,238.88,34.58,3.99,31.98,15.61,2.5,-0.94,-0.79,0.11
2016,5,8,16.01,0.06,95.47,234.75,35.08,2.93,32.48,15.53,2.51,-0.95,-0.79,0.11
2016,5,9,16.62,0.11,95.46,208.81,35.33,5.14,32.67,15.47,2.5,-0.96,-0.8,0.11
2016,5,10,17.06,1.07,95.46,212.0,35.71,4.37,32.59,15.41,2.5,-0.96,-0.81,0.11
2016,5,11,17.15,1.26,95.36,221.44,35.78,3.91,33.17,15.35,2.49,-0.97,-0.82,0.1
2016,5,12,17.91,1.91,95.13,208.75,35.97,6.4,33.29,15.83,3.64,-0.96,-0.59,0.11
2016,5,13,17.94,0.57,95.09,223.94,36.47,4.47,34.27,16.31,4.79,-0.95,-0.36,0.12
2016,5,14,18.86,1.94,95.25,205.44,35.86,5.58,33.78,16.79,5.94,-0.94,-0.14,0.13
2016,5,15,19.62,0.26,95.29,205.38,35.55,5.67,33.26,18.15,5.3,-0.88,-0.27,0.14
2016,5,16,19.29,0.03,95.16,192.75,36.06,5.39,33.66,19.52,4.66,-0.82,-0.4,0.14
2016,5,17,19.01,0.04,95.07,171.81,34.76,3.13,32.48,20.89,4.03,-0.77,-0.53,0.15
2016,5,18,20.44,4.15,95.03,151.44,30.61,3.23,28.96,21.99,4.59,-0.72,-0.42,0.16
2016,5,19,21.35,2.32,94.88,116.19,29.28,2.38,27.87,23.1,5.15,-0.68,-0.3,0.17
2016,5,20,21.24,19.46,94.57,56.88,27.57,6.7,27.65,24.2,5.72,-0.63,-0.18,0.18
2016,5,21,19.64,3.09,94.64,222.5,33.61,3.64,32.12,24.79,5.02,-0.61,-0.35,0.18
2016,5,22,18.85,4.93,94.73,251.44,33.34,5.13,32.85,25.38,4.33,-0.6,-0.52,0.17
2016,5,23,16.88,0.29,94.78,266.5,36.23,4.4,35.05,25.96,3.64,-0.58,-0.69,0.17
2016,5,24,17.39,0.27,94.8,255.06,36.41,3.0,35.2,25.17,3.6,-0.64,-0.72,0.17
2016,5,25,16.07,0.05,94.68,215.69,36.69,7.08,35.49,24.38,3.56,-0.7,-0.74,0.16
2016,5,26,14.98,0.28,94.86,224.31,36.27,6.3,35.11,23.59,3.52,-0.75,-0.76,0.16
2016,5,27,16.19,0.72,94.96,258.0,36.08,4.31,34.45,23.03,3.41,-0.8,-0.8,0.16
2016,5,28,18.38,3.08,94.96,220.5,35.26,3.52,33.79,22.47,3.3,-0.84,-0.83,0.15
2016,5,29,18.64,1.33,94.96,233.88,34.88,2.66,32.73,21.91,3.2,-0.88,-0.87,0.15
2016,5,30,19.47,1.3,94.91,180.75,34.69,3.56,32.4,21.55,3.68,-0.9,-0.82,0.15
2016,5,31,20.0,0.05,95.04,207.69,34.38,3.65,32.26,21.2,4.18,-0.91,-0.76,0.15
2016,6,1,20.11,1.06,95.09,172.62,35.35,5.76,32.73,20.84,4.66,-0.93,-0.7,0.15
2016,6,2,21.81,4.73,95.01,175.0,33.63,5.01,31.63,23.48,7.14,-0.86,-0.41,0.18
2016,6,3,22.1,4.04,95.04,163.56,31.08,4.19,29.85,26.12,9.62,-0.78,-0.11,0.21
2016,6,4,22.08,4.52,95.14,149.81,28.33,2.48,27.57,28.76,12.09,-0.71,0.19,0.24
2016,6,5,21.48,0.59,95.18,132.25,31.41,4.66,29.1,35.77,12.78,-0.55,0.21,0.28
2016,6,6,22.03,2.32,95.15,165.94,30.91,5.01,29.06,42.78,13.48,-0.39,0.24,0.33
2016,6,7,22.1,2.2,95.1,149.12,30.05,4.2,28.51,49.8,14.17,-0.24,0.26,0.38
2016,6,8,22.37,8.66,94.97,241.69,29.78,3.71,28.57,51.27,12.14,-0.25,-0.05,0.37
2016,6,9,21.08,1.72,94.91,256.56,31.66,4.41,30.55,52.74,10.1,-0.27,-0.36,0.37
2016,6,10,19.91,0.03,94.94,234.69,33.19,3.27,31.91,54.22,8.07,-0.28,-0.66,0.36
2016,6,11,20.64,6.01,94.96,219.44,33.1,4.13,31.62,54.6,9.57,-0.34,-0.54,0.38
2016,6,12,22.35,3.57,94.93,231.31,31.52,1.97,30.46,54.99,11.08,-0.39,-0.42,0.39
2016,6,13,21.44,4.22,94.93,241.81,29.3,4.22,28.73,55.38,12.59,-0.44,-0.3,0.4
2016,6,14,20.33,0.8,94.81,255.31,32.5,5.52,31.22,61.54,15.09,-0.36,-0.03,0.45
2016,6,15,19.95,0.49,94.67,256.19,33.46,4.16,32.48,67.7,17.58,-0.29,0.24,0.5
2016,6,16,22.07,11.36,94.8,217.88,27.83,2.23,27.29,73.86,20.08,-0.21,0.52,0.55
2016,6,17,21.89,13.63,94.74,140.69,28.19,2.34,27.12,82.08,19.27,-0.07,0.35,0.59
2016,6,18,22.64,5.14,94.83,124.56,27.82,3.85,27.08,90.29,18.46,0.07,0.19,0.64
2016,6,19,22.16,4.35,94.97,147.5,28.38,1.21,27.22,98.51,17.65,0.21,0.02,0.68
2016,6,20,22.13,0.88,95.06,160.56,29.05,3.05,27.58,100.18,18.66,0.19,0.13,0.7
2016,6,21,22.13,0.75,95.05,178.12,30.41,2.23,28.52,101.84,19.66,0.18,0.23,0.71
2016,6,22,22.33,0.78,95.12,199.69,30.33,4.13,28.76,103.51,20.66,0.16,0.33,0.73
2016,6,23,22.98,5.17,95.06,245.31,27.84,3.66,27.4,106.77,20.36,0.2,0.24,0.75
2016,6,24,23.08,5.72,94.96,252.19,27.29,3.14,26.93,110.03,20.06,0.24,0.16,0.76
2016,6,25,21.94,1.36,94.96,167.88,30.62,3.8,28.83,113.29,19.76,0.28,0.07,0.78
2016,6,26,21.77,2.22,94.97,148.56,30.15,2.97,28.52,113.95,19.99,0.24,0.06,0.79
2016,6,27,22.53,6.99,94.77,161.88,27.87,2.65,27.16,114.61,20.23,0.21,0.05,0.79
2016,6,28,22.72,8.11,94.62,80.06,27.61,4.69,27.04,115.28,20.47,0.18,0.04,0.8
2016,6,29,23.22,7.18,94.66,84.5,28.26,5.17,27.43,117.9,21.83,0.22,0.24,0.82
2016,6,30,23.95,25.82,94.57,104.56,28.16,3.68,27.6,120.53,23.18,0.25,0.44,0.84
2016,7,1,23.77,16.03,94.52,95.88,28.15,1.8,27.43,123.15,24.54,0.29,0.64,0.87
2016,7,2,24.12,18.97,94.59,255.62,26.48,4.92,26.26,125.75,24.42,0.33,0.59,0.88
2016,7,3,23.3,4.86,94.82,243.56,26.16,4.3,26.07,128.34,24.3,0.38,0.54,0.9
2016,7,4,23.48,3.84,94.82,231.06,25.98,5.91,26.0,130.94,24.19,0.42,0.5,0.91
2016,7,5,23.07,2.0,94.71,238.44,26.67,5.45,26.39,131.59,24.1,0.41,0.46,0.92
2016,7,6,22.73,4.05,94.68,249.06,27.35,5.43,27.04,132.23,24.0,0.4,0.42,0.92
2016,7,7,23.08,3.87,94.65,242.19,26.15,5.55,25.94,132.88,23.91,0.38,0.39,0.92
2016,7,8,22.6,22.16,94.45,232.25,25.33,3.91,25.19,133.57,23.78,0.38,0.33,0.93
2016,7,9,22.05,27.68,94.23,226.06,24.36,5.03,24.29,134.25,23.66,0.37,0.26,0.93
2016,7,10,22.24,17.99,94.33,250.06,25.51,3.73,25.13,134.94,23.54,0.37,0.2,0.93
2016,7,11,22.31,6.85,94.42,230.0,25.78,3.09,25.48,134.33,23.24,0.3,0.07,0.93
2016,7,12,22.32,0.21,94.65,239.12,25.37,7.0,25.28,133.73,22.94,0.23,-0.07,0.92
2016,7,13,23.01,6.78,94.87,242.0,26.4,3.71,26.04,133.12,22.64,0.17,-0.2,0.92
2016,7,14,23.44,2.52,94.85,265.25,26.75,4.51,26.55,133.42,23.06,0.14,-0.08,0.92
2016,7,15,23.63,16.08,94.91,254.31,26.6,3.93,26.51,133.71,23.48,0.12,0.05,0.93
2016,7,16,23.43,11.58,95.12,239.12,25.65,4.48,25.63,134.0,23.91,0.09,0.17,0.93
2016,7,17,22.84,13.15,95.42,216.31,25.8,3.2,25.66,135.23,24.15,0.14,0.24,0.94
2016,7,18,22.83,9.11,95.3,254.75,26.17,2.38,25.69,136.45,24.4,0.18,0.31,0.95
2016,7,19,22.9,3.92,95.14,260.94,25.72,3.51,25.48,137.67,24.64,0.23,0.38,0.96
2016,7,20,23.47,4.92,95.03,253.0,26.37,2.3,25.92,138.19,24.56,0.23,0.34,0.96
2016,7,21,23.71,6.72,94.94,178.19,27.23,3.45,26.73,138.7,24.47,0.24,0.3,0.96
2016,7,22,23.33,2.0,94.93,142.94,26.73,1.48,26.31,139.22,24.38,0.25,0.26,0.96
2016,7,23,23.23,14.68,95.01,145.88,25.37,1.8,25.26,139.4,24.45,0.24,0.26,0.96
2016,7,24,23.28,4.11,95.02,153.69,26.29,2.32,25.78,139.59,24.51,0.23,0.26,0.97
2016,7,25,23.23,13.88,95.2,195.56,25.8,1.51,25.59,139.77,24.58,0.22,0.27,0.97
2016,7,26,22.62,11.55,95.33,179.62,24.73,2.58,24.68,140.0,24.64,0.23,0.28,0.97
2016,7,27,22.27,3.78,95.35,176.81,25.74,2.18,25.27,140.22,24.69,0.24,0.29,0.97
2016,7,28,22.27,0.6,95.24,210.62,26.77,2.02,26.07,140.44,24.75,0.26,0.3,0.97
2016,7,29,23.41,0.23,95.08,252.06,26.11,3.14,26.01,140.84,24.88,0.29,0.34,0.98
2016,7,30,23.55,3.13,95.01,316.94,25.21,1.79,25.27,141.24,25.0,0.31,0.39,0.98
2016,7,31,22.68,8.08,94.97,265.0,25.9,1.66,25.55,141.64,25.13,0.34,0.43,0.98
2016,8,1,22.95,10.33,94.76,266.5,25.33,2.91,25.1,142.25,25.2,0.38,0.45,0.98
2016,8,2,23.03,10.82,94.43,264.19,25.36,4.97,25.3,142.86,25.26,0.43,0.47,0.99
2016,8,3,22.69,37.03,94.47,262.44,24.67,6.15,24.62,143.47,25.32,0.47,0.49,0.99
2016,8,4,22.71,51.98,94.53,270.94,24.32,3.72,24.36,143.6,25.23,0.45,0.44,0.99
2016,8,5,22.69,16.48,94.6,250.81,24.59,4.55,24.75,143.73,25.15,0.44,0.39,0.99
2016,8,6,23.51,27.39,94.7,238.69,25.66,4.55,25.68,143.87,25.07,0.42,0.35,0.99
2016,8,7,22.99,3.25,94.9,239.94,25.61,4.84,25.5,144.0,25.15,0.45,0.39,0.99
2016,8,8,22.6,0.68,95.05,252.62,24.73,5.19,24.76,144.14,25.23,0.48,0.44,1.0
2016,8,9,22.8,2.55,94.99,255.12,24.26,4.25,24.37,144.28,25.31,0.51,0.48,1.0
2016,8,10,22.98,11.02,95.03,267.44,24.58,4.89,24.71,143.89,24.86,0.38,0.15,0.99
2016,8,11,22.97,7.89,95.13,262.81,25.06,5.62,25.05,143.5,24.41,0.24,-0.18,0.99
2016,8,12,23.07,0.6,95.06,264.44,25.31,4.9,25.23,143.12,23.95,0.1,-0.51,0.98
2016,8,13,23.3,5.09,94.93,261.62,26.07,4.23,25.82,143.47,24.4,0.21,-0.19,0.99
2016,8,14,23.69,2.49,94.83,256.25,26.18,4.2,26.04,143.81,24.85,0.31,0.14,0.99
2016,8,15,23.3,6.77,94.66,266.44,24.83,4.36,24.8,144.16,25.3,0.42,0.47,1.0
2016,8,16,22.52,2.56,94.48,273.62,24.51,2.18,24.54,143.59,24.22,0.11,-0.45,0.99
2016,8,17,21.71,1.38,94.46,275.75,23.05,4.36,23.23,143.03,23.14,-0.2,-1.36,0.98
2016,8,18,22.1,0.72,94.67,265.19,24.8,4.81,24.72,142.46,22.06,-0.51,-2.28,0.97
2016,8,19,22.18,0.02,94.9,249.88,26.03,3.55,25.78,142.07,22.96,-0.69,-1.5,0.97
2016,8,20,22.06,0.08,95.04,271.88,25.98,2.38,25.76,141.69,23.86,-0.86,-0.73,0.97
2016,8,21,22.45,0.2,95.1,269.25,26.22,3.26,26.09,141.3,24.76,-1.03,0.05,0.98
2016,8,22,22.95,1.33,95.15,257.25,25.16,2.15,25.03,142.18,24.92,-0.55,0.18,0.98
2016,8,23,22.55,0.4,95.12,215.25,26.02,3.36,26.0,143.06,25.08,-0.07,0.31,0.99
2016,8,24,23.34,19.4,95.07,241.5,26.47,2.1,26.32,143.94,25.23,0.42,0.44,1.0
2016,8,25,23.23,14.32,95.12,206.25,26.83,1.27,26.72,143.61,24.6,0.2,-0.08,0.99
2016,8,26,23.58,9.18,95.06,120.19,26.33,3.33,26.15,143.27,23.97,-0.01,-0.6,0.98
2016,8,27,23.44,2.25,95.19,123.56,26.09,3.09,25.82,142.93,23.34,-0.22,-1.11,0.98
2016,8,28,23.23,4.3,95.28,94.19,26.05,3.19,25.72,142.06,23.6,-0.47,-0.87,0.97
2016,8,29,22.83,1.61,95.14,121.94,25.8,1.84,25.7,141.2,23.87,-0.72,-0.62,0.97
2016,8,30,22.96,1.77,95.03,142.88,25.65,1.65,25.58,140.33,24.13,-0.97,-0.38,0.97
2016,8,31,22.99,2.63,95.04,155.75,25.53,3.05,25.41,141.34,24.51,-0.55,-0.1,0.98
2016,9,1,23.29,3.96,95.14,219.19,25.33,3.35,25.37,142.35,24.88,-0.12,0.19,0.98
